exception_id,partner_id,requested_date,exception_type,exception_status,business_justification,expected_annual_revenue_usd,approved_by_role,review_due_date
E000254,P001396,2025-01-08,Volume threshold waiver,Approved,Competitive displacement,6713.2,Revenue Management,2026-02-05
E000255,P001398,2021-11-20,Waived monthly minimum,Approved,Risk-adjusted commercial exception,1669.9,Revenue Management,2022-12-24
E000256,P001399,2023-06-13,High-risk waiver,Pending,Risk-adjusted commercial exception,621309.93,Pricing Governance,2024-06-26
E000257,P001400,2022-01-04,Volume threshold waiver,Pending,Strategic retention,301561.7,Pricing Governance,2023-02-07
E000258,P001409,2021-04-24,Waived monthly minimum,Approved,Migration incentive,269653.31,Pricing Governance,2022-05-12
E000259,P001411,2024-01-01,Waived monthly minimum,Pending,Competitive displacement,1863570.36,Risk Review,2026-01-30
E000260,P001422,2018-02-04,Waived monthly minimum,Approved,Risk-adjusted commercial exception,16322080.53,Product Director,2018-09-01
E000261,P001436,2021-05-16,Waived monthly minimum,Approved,Strategic retention,418304.63,Risk Review,2023-05-26
E000262,P001450,2025-03-02,Discounted bps,Approved,Contract renewal concession,525727.43,Revenue Management,2027-03-30
E000263,P001453,2019-07-23,Discounted bps,Approved,Strategic retention,6260.92,Product Director,2020-02-01
E000264,P001455,2023-12-02,High-risk waiver,Expired,Contract renewal concession,59671.6,Revenue Management,2024-12-10
E000265,P001456,2025-03-21,Legacy plan extension,Approved,Migration incentive,17601.78,Product Director,2026-04-14
E000266,P001460,2019-03-12,High-risk waiver,Approved,Strategic retention,5466.52,Product Director,2020-03-31
E000267,P001468,2023-07-30,High-risk waiver,Approved,Contract renewal concession,254571.64,Pricing Governance,2024-02-25
E000268,P001471,2023-08-27,Legacy plan extension,Approved,Competitive displacement,42113.22,Risk Review,2024-09-06
E000269,P001481,2025-04-20,Legacy plan extension,Approved,Contract renewal concession,63937.57,Pricing Governance,2026-05-22
E000270,P001492,2018-07-07,Waived monthly minimum,Approved,Contract renewal concession,30348.86,Revenue Management,2019-08-08
E000271,P001494,2023-12-24,Legacy plan extension,Pending,Strategic retention,71023.84,None,2024-07-02
E000272,P001502,2024-01-30,Legacy plan extension,Approved,Migration incentive,667429.71,Pricing Governance,2025-02-25
E000273,P001509,2025-05-21,Waived monthly minimum,Approved,New partner acquisition,52035.23,Revenue Management,2026-06-09
E000274,P001513,2023-04-20,Discounted bps,Approved,New partner acquisition,223718.78,Revenue Management,2023-11-17
E000275,P001524,2025-08-07,High-risk waiver,Pending,Competitive displacement,494014.1,Revenue Management,2027-08-19
E000276,P001537,2018-01-28,Legacy plan extension,Approved,New partner acquisition,8987.63,Product Director,2019-02-05
E000277,P001540,2025-02-28,Volume threshold waiver,Approved,Strategic retention,16436.84,None,2025-09-18
E000278,P001542,2018-07-22,Waived monthly minimum,Expired,Strategic retention,13310.31,Revenue Management,2019-08-20
E000279,P001569,2022-07-14,High-risk waiver,Pending,Strategic retention,8028.81,Pricing Governance,2024-08-04
E000280,P001579,2020-12-22,Waived monthly minimum,Expired,Strategic retention,1464.07,Pricing Governance,2023-01-08
E000281,P001581,2022-10-29,Waived monthly minimum,Approved,Competitive displacement,15395.27,Product Director,2023-05-19
E000282,P001585,2020-04-09,High-risk waiver,Approved,New partner acquisition,3517.38,Revenue Management,2020-10-24
E000283,P001596,2024-07-06,Waived monthly minimum,Expired,Strategic retention,10147.29,Pricing Governance,2025-02-06
E000284,P001597,2020-12-23,Volume threshold waiver,Expired,Migration incentive,1569.75,Pricing Governance,2021-07-09
E000285,P001600,2021-04-05,High-risk waiver,Pending,Competitive displacement,22663.8,Product Director,2022-05-03
E000286,P001613,2025-03-06,Discounted bps,Approved,Strategic retention,19939.77,Product Director,2026-03-21
E000287,P001615,2022-04-15,Legacy plan extension,Approved,Strategic retention,824336.61,Revenue Management,2022-11-16
E000288,P001622,2023-11-17,Waived monthly minimum,Approved,Competitive displacement,419997.75,Pricing Governance,2024-06-07
E000289,P001625,2024-06-21,Waived monthly minimum,Pending,Risk-adjusted commercial exception,703219.82,Product Director,2026-07-23
E000290,P001631,2019-05-08,Legacy plan extension,Approved,Risk-adjusted commercial exception,38050.67,Pricing Governance,2020-05-16
E000291,P001633,2020-01-15,Discounted bps,Approved,Contract renewal concession,43302.46,Revenue Management,2021-01-25
E000292,P001637,2020-02-11,Legacy plan extension,Approved,Competitive displacement,41916.94,Pricing Governance,2021-03-06
E000293,P001638,2023-10-23,Waived monthly minimum,Expired,New partner acquisition,3110.44,Pricing Governance,2025-11-23
E000294,P001642,2018-12-26,High-risk waiver,Pending,Risk-adjusted commercial exception,191403.95,Revenue Management,2019-07-26
E000295,P001644,2021-09-05,Discounted bps,Pending,Strategic retention,536.47,Pricing Governance,2022-03-13
E000296,P001649,2023-09-09,Waived monthly minimum,Pending,Contract renewal concession,1236103.46,Pricing Governance,2024-04-04
E000297,P001653,2024-02-10,Waived monthly minimum,Approved,New partner acquisition,8990.32,Pricing Governance,2026-03-12
E000298,P001657,2023-08-16,Waived monthly minimum,Approved,New partner acquisition,17202.36,Pricing Governance,2024-08-25
E000299,P001664,2024-10-09,Waived monthly minimum,Approved,Migration incentive,7287.98,Product Director,2025-04-14
E000300,P001670,2024-02-11,High-risk waiver,Pending,New partner acquisition,111253.96,Risk Review,2025-02-24
E000301,P001688,2025-04-12,Legacy plan extension,Expired,Risk-adjusted commercial exception,24694.95,Pricing Governance,2026-04-27
E000302,P001692,2023-07-23,Volume threshold waiver,Approved,Risk-adjusted commercial exception,63413.04,Product Director,2024-02-12
E000303,P001694,2022-04-25,Discounted bps,Approved,Competitive displacement,3176.52,Product Director,2023-05-11
E000304,P001695,2021-04-13,Discounted bps,Expired,Migration incentive,50944.43,Revenue Management,2022-05-03
E000305,P001710,2023-06-27,Waived monthly minimum,Pending,Migration incentive,851.27,Product Director,2024-07-14
E000306,P001712,2022-02-25,Legacy plan extension,Approved,Competitive displacement,24600.3,Pricing Governance,2024-03-01
E000307,P001713,2025-05-07,Legacy plan extension,Approved,Migration incentive,96027.92,Risk Review,2026-05-28
E000308,P001714,2024-06-02,High-risk waiver,Expired,Competitive displacement,157766.92,None,2025-07-01
E000309,P001721,2021-02-20,Waived monthly minimum,Approved,Contract renewal concession,112446.42,None,2022-02-27
E000310,P001723,2021-11-09,Discounted bps,Pending,Competitive displacement,917.0,None,2022-11-22
E000311,P001743,2023-06-21,High-risk waiver,Approved,Competitive displacement,1468.87,Revenue Management,2024-07-14
E000312,P001747,2025-06-11,Discounted bps,Approved,Migration incentive,398939.93,Pricing Governance,2026-07-14
E000313,P001768,2024-06-09,Legacy plan extension,Approved,Competitive displacement,4543.41,Product Director,2026-06-18
E000314,P001770,2022-08-28,Discounted bps,Approved,Competitive displacement,176916.81,Risk Review,2023-09-19
E000315,P001776,2023-07-19,High-risk waiver,Pending,Risk-adjusted commercial exception,155328.28,Revenue Management,2024-01-22
E000316,P001779,2022-02-07,Volume threshold waiver,Approved,Contract renewal concession,3603.57,Product Director,2022-09-06
E000317,P001781,2018-07-07,Waived monthly minimum,Approved,Contract renewal concession,1523.24,Pricing Governance,2020-07-12
E000318,P001784,2025-03-09,Volume threshold waiver,Approved,Migration incentive,182812.07,Revenue Management,2026-03-17
E000319,P001788,2018-03-06,Waived monthly minimum,Pending,Strategic retention,17007.42,Risk Review,2020-04-06
E000320,P001795,2021-02-07,Volume threshold waiver,Rejected,Strategic retention,243100.58,Risk Review,2022-02-27
E000321,P001796,2024-12-19,Volume threshold waiver,Approved,Risk-adjusted commercial exception,1587435.72,Pricing Governance,2025-12-24
E000322,P001806,2025-05-22,Legacy plan extension,Pending,Migration incentive,8915.23,Revenue Management,2025-12-23
E000323,P001808,2025-05-08,Discounted bps,Rejected,Competitive displacement,79401.47,Revenue Management,2026-06-03
E000324,P001812,2024-03-17,High-risk waiver,Expired,New partner acquisition,157153.95,Pricing Governance,2026-04-12
E000325,P001820,2023-12-29,Waived monthly minimum,Approved,Strategic retention,1762.53,Product Director,2025-01-08
E000326,P001825,2025-03-17,Legacy plan extension,Approved,Migration incentive,70356.86,Revenue Management,2026-04-19
E000327,P001828,2023-11-04,Volume threshold waiver,Approved,Competitive displacement,1515.7,Revenue Management,2024-11-12
E000328,P001830,2025-08-14,High-risk waiver,Approved,Competitive displacement,24572.81,Risk Review,2026-08-25
E000329,P001841,2022-10-14,High-risk waiver,Approved,Risk-adjusted commercial exception,35070.42,Pricing Governance,2023-05-02
E000330,P001844,2018-12-07,Legacy plan extension,Approved,Contract renewal concession,6114.61,Revenue Management,2019-06-30
E000331,P001853,2019-03-13,Volume threshold waiver,Approved,New partner acquisition,23165.14,Revenue Management,2019-10-10
E000332,P001857,2025-07-16,Waived monthly minimum,Expired,Migration incentive,496391.62,Revenue Management,2026-08-20
E000333,P001859,2018-02-27,High-risk waiver,Expired,Migration incentive,71750.6,Pricing Governance,2019-03-22
E000334,P001863,2023-11-13,Legacy plan extension,Expired,Risk-adjusted commercial exception,25011.52,Product Director,2024-12-13
E000335,P001864,2025-06-19,Volume threshold waiver,Expired,Contract renewal concession,929996.25,Pricing Governance,2026-07-23
E000336,P001866,2020-11-07,High-risk waiver,Pending,Migration incentive,14197.39,Pricing Governance,2021-05-18
E000337,P001871,2024-11-29,Waived monthly minimum,Approved,New partner acquisition,51112.85,Pricing Governance,2026-12-13
E000338,P001877,2024-03-27,High-risk waiver,Approved,New partner acquisition,3251056.52,Revenue Management,2024-09-28
E000339,P001895,2023-08-05,Discounted bps,Approved,New partner acquisition,4289.79,Risk Review,2024-08-23
E000340,P001896,2018-11-21,Discounted bps,Pending,Risk-adjusted commercial exception,26154.21,Product Director,2019-11-30
E000341,P001898,2025-07-02,Volume threshold waiver,Expired,Competitive displacement,702.86,Revenue Management,2026-07-28
E000342,P001899,2023-12-01,High-risk waiver,Approved,Strategic retention,119416.34,Product Director,2024-12-20
E000343,P001902,2023-10-05,High-risk waiver,Approved,New partner acquisition,18187.12,Product Director,2024-10-25
E000344,P001903,2023-09-18,Discounted bps,Pending,Competitive displacement,10129.61,Product Director,2024-04-02
E000345,P001907,2020-05-28,Discounted bps,Approved,New partner acquisition,74337.94,None,2020-12-25
E000346,P001909,2023-04-15,Discounted bps,Approved,Competitive displacement,236723.29,Product Director,2023-11-12
E000347,P001915,2021-01-13,High-risk waiver,Approved,Contract renewal concession,9262.38,Pricing Governance,2021-07-20
E000348,P001916,2023-01-29,Volume threshold waiver,Approved,Risk-adjusted commercial exception,231.17,Pricing Governance,2024-02-07
E000349,P001923,2018-09-07,Volume threshold waiver,Pending,Migration incentive,95470.1,Product Director,2019-03-16
E000350,P001925,2019-01-29,Discounted bps,Pending,New partner acquisition,52863.36,Revenue Management,2020-03-03
E000351,P001929,2025-06-09,Volume threshold waiver,Expired,Strategic retention,16194.34,Pricing Governance,2026-01-07
E000352,P001932,2024-07-09,Discounted bps,Approved,Contract renewal concession,25042.85,Pricing Governance,2025-07-27
E000353,P001938,2024-11-25,Waived monthly minimum,Approved,Competitive displacement,979109.91,Product Director,2025-12-04
E000354,P001940,2025-05-11,Volume threshold waiver,Approved,Strategic retention,9631.92,Pricing Governance,2025-11-21
E000355,P001945,2020-04-21,Waived monthly minimum,Approved,Migration incentive,48763.4,Product Director,2021-05-05
E000356,P001951,2019-06-12,Waived monthly minimum,Approved,Migration incentive,50031.97,Revenue Management,2020-07-16
E000357,P001955,2023-01-01,Legacy plan extension,Approved,Risk-adjusted commercial exception,108989.25,Pricing Governance,2023-07-05
E000358,P001960,2025-03-29,Volume threshold waiver,Approved,Competitive displacement,749238.52,Revenue Management,2025-10-10
E000359,P001964,2024-04-02,Discounted bps,Approved,Strategic retention,14402.17,Product Director,2024-10-04
E000360,P001977,2019-09-01,Volume threshold waiver,Approved,Migration incentive,112476.7,Pricing Governance,2021-09-10
E000361,P001978,2018-09-08,Legacy plan extension,Approved,Risk-adjusted commercial exception,6629.77,Risk Review,2019-09-13
E000362,P001980,2023-12-04,Discounted bps,Approved,Migration incentive,28152.08,Risk Review,2024-06-13
E000363,P001989,2024-08-29,Discounted bps,Pending,Strategic retention,108424.27,Product Director,2025-09-03
E000364,P001997,2024-02-17,Waived monthly minimum,Approved,New partner acquisition,44748.85,None,2025-03-06
E000365,P001998,2020-11-19,Waived monthly minimum,Approved,Contract renewal concession,200571.97,Risk Review,2021-11-24
E000366,P001999,2025-02-19,High-risk waiver,Approved,Risk-adjusted commercial exception,38337.92,None,2026-03-26
E000367,P002000,2023-06-03,Discounted bps,Approved,Risk-adjusted commercial exception,12735.59,Revenue Management,2024-07-03
E000368,P002004,2025-06-07,Volume threshold waiver,Pending,Risk-adjusted commercial exception,2129.66,Pricing Governance,2026-07-05
E000369,P002007,2023-10-29,Waived monthly minimum,Approved,New partner acquisition,10076.86,Revenue Management,2024-11-25
E000370,P002010,2018-07-22,Volume threshold waiver,Approved,Migration incentive,10809062.31,Product Director,2019-08-16
E000371,P002019,2021-11-18,Volume threshold waiver,Approved,Competitive displacement,909842.37,Revenue Management,2022-12-06
E000372,P002028,2021-07-17,Waived monthly minimum,Approved,Contract renewal concession,1046706.47,Revenue Management,2022-08-08
E000373,P002032,2024-09-03,High-risk waiver,Approved,Migration incentive,313489.99,Product Director,2025-09-22
E000374,P002053,2020-06-23,Waived monthly minimum,Approved,Migration incentive,460238.24,Product Director,2021-07-20
E000375,P002059,2025-01-11,Waived monthly minimum,Expired,Strategic retention,32119.95,Product Director,2026-02-02
E000376,P002060,2023-07-23,High-risk waiver,Approved,Migration incentive,33536.07,Revenue Management,2025-08-06
E000377,P002064,2023-11-29,High-risk waiver,Expired,Contract renewal concession,4404.36,Pricing Governance,2024-12-17
E000378,P002065,2020-02-04,Volume threshold waiver,Pending,Risk-adjusted commercial exception,35050.72,Pricing Governance,2022-02-15
E000379,P002069,2020-06-19,Discounted bps,Approved,Strategic retention,6706.22,Revenue Management,2021-07-15
E000380,P002074,2023-05-12,Waived monthly minimum,Approved,Competitive displacement,6278.16,Pricing Governance,2024-05-22
E000381,P002083,2018-10-26,High-risk waiver,Expired,New partner acquisition,20341.48,Risk Review,2019-11-23
E000382,P002087,2023-04-09,Waived monthly minimum,Approved,Contract renewal concession,18919.54,Risk Review,2023-10-18
E000383,P002091,2023-10-19,High-risk waiver,Rejected,Strategic retention,114693.48,Product Director,2025-10-28
E000384,P002092,2025-06-19,Discounted bps,Approved,Contract renewal concession,62997.03,Risk Review,2026-07-18
E000385,P002097,2024-01-30,High-risk waiver,Pending,Risk-adjusted commercial exception,192703.73,None,2025-02-10
E000386,P002098,2022-11-14,Volume threshold waiver,Expired,Strategic retention,71195.12,Risk Review,2023-11-29
E000387,P002102,2024-05-25,Volume threshold waiver,Approved,Risk-adjusted commercial exception,108962.09,Pricing Governance,2025-06-19
E000388,P002104,2023-12-13,Legacy plan extension,Expired,Competitive displacement,150928.06,Revenue Management,2025-01-11
E000389,P002106,2025-05-06,Legacy plan extension,Approved,Risk-adjusted commercial exception,40329.87,Product Director,2026-05-26
E000390,P002107,2023-06-01,High-risk waiver,Pending,Migration incentive,535867.44,Revenue Management,2025-06-17
E000391,P002111,2024-08-18,Volume threshold waiver,Approved,Competitive displacement,2244.7,Revenue Management,2025-09-09
E000392,P002112,2023-07-15,Waived monthly minimum,Rejected,New partner acquisition,46758.14,Revenue Management,2024-08-16
E000393,P002118,2025-01-11,Legacy plan extension,Approved,New partner acquisition,4941.97,Revenue Management,2025-08-07
E000394,P002119,2023-03-12,Waived monthly minimum,Pending,New partner acquisition,42132.61,Risk Review,2024-03-22
E000395,P002137,2025-08-15,High-risk waiver,Pending,Migration incentive,8556.65,None,2026-08-22
E000396,P002149,2021-02-17,Volume threshold waiver,Pending,Risk-adjusted commercial exception,58835.57,Product Director,2022-03-13
E000397,P002162,2018-03-29,Discounted bps,Pending,New partner acquisition,8953.48,Revenue Management,2019-04-15
E000398,P002177,2022-01-18,Waived monthly minimum,Rejected,Competitive displacement,754.49,Pricing Governance,2023-02-04
E000399,P002193,2023-03-20,High-risk waiver,Pending,Risk-adjusted commercial exception,4042.91,Pricing Governance,2024-04-05
E000400,P002214,2019-09-06,Volume threshold waiver,Approved,Migration incentive,2672.64,Risk Review,2020-09-13
E000401,P002222,2022-02-25,High-risk waiver,Approved,New partner acquisition,51208.11,Revenue Management,2024-03-17
E000402,P002225,2018-04-03,Waived monthly minimum,Approved,Strategic retention,436.14,Pricing Governance,2018-10-29
E000403,P002229,2024-07-12,Volume threshold waiver,Rejected,Contract renewal concession,148322.25,Pricing Governance,2025-07-27
E000404,P002241,2020-08-13,Discounted bps,Expired,Risk-adjusted commercial exception,2975.05,None,2022-08-30
E000405,P002253,2025-05-18,Volume threshold waiver,Approved,New partner acquisition,42649.27,Pricing Governance,2027-06-01
E000406,P002264,2024-06-02,Legacy plan extension,Approved,Competitive displacement,1344.67,Product Director,2025-06-20
E000407,P002265,2018-04-16,Discounted bps,Approved,Risk-adjusted commercial exception,33850.09,Pricing Governance,2018-10-22
E000408,P002272,2024-04-20,Legacy plan extension,Approved,Migration incentive,6312624.09,Revenue Management,2025-05-02
E000409,P002278,2025-05-06,Discounted bps,Approved,New partner acquisition,254341.96,Pricing Governance,2025-11-24
E000410,P002284,2024-09-21,Waived monthly minimum,Pending,Strategic retention,19763.05,Revenue Management,2025-10-16
E000411,P002287,2018-01-15,Volume threshold waiver,Pending,Contract renewal concession,15476.46,Pricing Governance,2019-02-03
E000412,P002290,2018-01-16,Legacy plan extension,Expired,Contract renewal concession,7494.48,Revenue Management,2018-07-28
E000413,P002292,2024-02-04,High-risk waiver,Approved,Migration incentive,1189772.91,None,2025-02-28
E000414,P002293,2020-05-28,Waived monthly minimum,Approved,Contract renewal concession,5344.22,Pricing Governance,2020-11-29
E000415,P002297,2024-08-30,High-risk waiver,Approved,Migration incentive,50393.86,Pricing Governance,2025-09-28
E000416,P002299,2025-02-20,Waived monthly minimum,Approved,Migration incentive,17086.01,Pricing Governance,2027-02-27
E000417,P002306,2023-10-09,Waived monthly minimum,Rejected,Strategic retention,9788.72,Revenue Management,2024-11-01
E000418,P002307,2025-01-03,Volume threshold waiver,Approved,Contract renewal concession,27977.23,Revenue Management,2026-01-27
E000419,P002312,2018-06-08,Waived monthly minimum,Approved,Competitive displacement,77923.79,Risk Review,2019-06-24
E000420,P002322,2022-12-02,Waived monthly minimum,Pending,Contract renewal concession,12216.45,Pricing Governance,2023-06-09
E000421,P002323,2020-04-08,Legacy plan extension,Pending,Migration incentive,6251.53,Revenue Management,2021-05-03
E000422,P002324,2018-12-12,Volume threshold waiver,Approved,Risk-adjusted commercial exception,2062.57,Product Director,2019-12-21
E000423,P002329,2020-05-29,Discounted bps,Approved,Strategic retention,6860.21,Pricing Governance,2021-07-01
E000424,P002334,2024-09-23,Legacy plan extension,Approved,Migration incentive,1423.25,Product Director,2025-10-27
E000425,P002347,2018-02-09,High-risk waiver,Approved,Contract renewal concession,141149.43,Product Director,2018-08-20
E000426,P002363,2023-09-04,Legacy plan extension,Approved,Risk-adjusted commercial exception,30228.55,Product Director,2024-09-11
E000427,P002365,2025-07-07,Discounted bps,Approved,Risk-adjusted commercial exception,9810.42,Revenue Management,2026-02-04
E000428,P002380,2023-08-03,Legacy plan extension,Approved,Contract renewal concession,30565.27,Pricing Governance,2024-02-09
E000429,P002405,2024-08-10,Volume threshold waiver,Approved,New partner acquisition,48622.44,Revenue Management,2025-02-14
E000430,P002413,2024-10-31,Waived monthly minimum,Approved,Strategic retention,7778.67,Product Director,2025-11-29
E000431,P002416,2020-08-27,Volume threshold waiver,Pending,Migration incentive,22686.37,Pricing Governance,2021-09-23
E000432,P002417,2022-07-29,High-risk waiver,Approved,Strategic retention,7089.04,Risk Review,2023-08-21
E000433,P002429,2018-01-08,Waived monthly minimum,Expired,Risk-adjusted commercial exception,4918703.1,Pricing Governance,2020-02-03
E000434,P002432,2018-07-14,Discounted bps,Rejected,Strategic retention,236024.8,Revenue Management,2019-07-23
E000435,P002439,2023-06-13,Discounted bps,Approved,Competitive displacement,597688.63,Product Director,2024-07-09
E000436,P002441,2024-06-30,Discounted bps,Approved,Strategic retention,25176.25,Pricing Governance,2025-07-28
E000437,P002459,2024-02-06,Legacy plan extension,Approved,Strategic retention,18783.4,Pricing Governance,2025-03-08
E000438,P002462,2025-03-13,Volume threshold waiver,Approved,Risk-adjusted commercial exception,1193173.81,Risk Review,2026-04-12
E000439,P002467,2018-01-29,High-risk waiver,Approved,Strategic retention,19789.19,Revenue Management,2019-02-08
E000440,P002469,2018-07-25,Legacy plan extension,Approved,New partner acquisition,1942819.3,Product Director,2019-08-20
E000441,P002474,2024-03-29,Volume threshold waiver,Pending,Competitive displacement,15430.24,Revenue Management,2025-05-02
E000442,P002477,2021-11-04,High-risk waiver,Approved,Strategic retention,13897.39,Pricing Governance,2022-11-22
E000443,P002480,2021-07-26,Waived monthly minimum,Pending,New partner acquisition,42643.71,Risk Review,2022-08-14
E000444,P002489,2023-04-09,High-risk waiver,Rejected,Competitive displacement,288442.33,Product Director,2025-04-25
E000445,P002494,2019-09-10,Legacy plan extension,Approved,Strategic retention,42478.38,Revenue Management,2021-09-27
E000446,P002495,2024-03-19,High-risk waiver,Pending,Strategic retention,19956.85,Product Director,2025-03-28
E000447,P002508,2025-06-26,Volume threshold waiver,Approved,New partner acquisition,6251.15,Pricing Governance,2027-07-05
E000448,P002515,2025-08-09,Discounted bps,Approved,Contract renewal concession,265167.58,Revenue Management,2026-08-17
E000449,P002517,2025-04-03,Discounted bps,Approved,Strategic retention,14168.78,Pricing Governance,2025-10-31
E000450,P002538,2024-03-04,High-risk waiver,Rejected,Contract renewal concession,168013.81,Pricing Governance,2025-04-08
E000451,P002540,2018-05-07,Volume threshold waiver,Expired,Competitive displacement,53155.91,Pricing Governance,2020-05-30
E000452,P002550,2023-08-23,High-risk waiver,Expired,Risk-adjusted commercial exception,195117.99,Pricing Governance,2024-03-24
E000453,P002551,2023-12-16,Legacy plan extension,Approved,Migration incentive,169.31,Pricing Governance,2026-01-10
E000454,P002562,2025-05-04,Discounted bps,Approved,New partner acquisition,83160.83,Product Director,2025-11-09
E000455,P002567,2019-06-23,Discounted bps,Approved,Contract renewal concession,24260.46,Pricing Governance,2019-12-28
E000456,P002581,2021-03-29,Legacy plan extension,Approved,Contract renewal concession,19304.46,Pricing Governance,2021-10-06
E000457,P002586,2018-11-24,Legacy plan extension,Rejected,New partner acquisition,666.64,Product Director,2019-12-11
E000458,P002600,2018-02-07,High-risk waiver,Expired,Migration incentive,96650.38,Revenue Management,2019-02-26
E000459,P002601,2024-07-02,Waived monthly minimum,Approved,Risk-adjusted commercial exception,229481.02,Product Director,2025-07-09
E000460,P002604,2023-06-20,Discounted bps,Approved,Risk-adjusted commercial exception,19129.48,Revenue Management,2024-01-10
E000461,P002605,2023-12-08,Discounted bps,Approved,New partner acquisition,31240.2,Revenue Management,2025-01-11
E000462,P002606,2022-12-04,Volume threshold waiver,Pending,Competitive displacement,67380.43,Pricing Governance,2024-01-07
E000463,P002607,2018-09-12,Volume threshold waiver,Approved,Migration incentive,288069.5,Revenue Management,2019-09-20
E000464,P002611,2020-12-15,Volume threshold waiver,Approved,Risk-adjusted commercial exception,165423.38,Product Director,2021-07-18
E000465,P002620,2019-08-27,Waived monthly minimum,Approved,Risk-adjusted commercial exception,31822.11,Revenue Management,2020-09-29
E000466,P002623,2023-09-12,Discounted bps,Approved,Risk-adjusted commercial exception,288574.78,Revenue Management,2024-03-17
E000467,P002626,2025-06-29,Legacy plan extension,Expired,Strategic retention,18881.04,Product Director,2026-07-13
E000468,P002633,2024-10-10,Legacy plan extension,Pending,Strategic retention,405301.53,Revenue Management,2025-05-06
E000469,P002646,2024-11-19,Discounted bps,Approved,Migration incentive,60292.32,Risk Review,2025-12-10
E000470,P002647,2024-11-22,Discounted bps,Approved,New partner acquisition,180074.82,Product Director,2025-12-04
E000471,P002654,2024-01-28,High-risk waiver,Approved,Contract renewal concession,1255746.21,Risk Review,2025-02-22
E000472,P002661,2025-06-12,Discounted bps,Approved,Competitive displacement,17226.5,None,2026-01-08
E000473,P002663,2019-04-17,Waived monthly minimum,Approved,New partner acquisition,6959.27,Revenue Management,2020-05-15
E000474,P002671,2021-08-05,Waived monthly minimum,Expired,Risk-adjusted commercial exception,9613.66,Revenue Management,2022-02-08
E000475,P002678,2023-08-12,Discounted bps,Rejected,Contract renewal concession,64624.49,Pricing Governance,2024-03-01
E000476,P002681,2024-06-15,Discounted bps,Rejected,New partner acquisition,4919.45,Revenue Management,2025-01-15
E000477,P002683,2023-10-24,High-risk waiver,Approved,Competitive displacement,57837.42,Revenue Management,2024-11-03
E000478,P002685,2017-12-19,High-risk waiver,Pending,Risk-adjusted commercial exception,23792.71,Pricing Governance,2020-01-07
E000479,P002686,2019-07-31,High-risk waiver,Pending,Risk-adjusted commercial exception,235581.01,Pricing Governance,2020-02-19
E000480,P002699,2022-11-27,Volume threshold waiver,Pending,Strategic retention,2630.76,Revenue Management,2023-12-02
E000481,P002704,2022-03-15,Volume threshold waiver,Rejected,Contract renewal concession,76240.41,Revenue Management,2023-03-23
E000482,P002705,2020-12-05,Legacy plan extension,Approved,Strategic retention,101532.71,Revenue Management,2021-06-25
E000483,P002706,2022-11-13,Waived monthly minimum,Approved,Risk-adjusted commercial exception,85783.81,Revenue Management,2023-12-03
E000484,P002707,2023-03-02,Legacy plan extension,Pending,Risk-adjusted commercial exception,21103.64,Product Director,2023-10-01
E000485,P002711,2025-05-12,Volume threshold waiver,Approved,Competitive displacement,79745.84,Pricing Governance,2026-06-05
E000486,P002718,2021-03-05,Discounted bps,Expired,Strategic retention,4651.49,Pricing Governance,2022-03-14
E000487,P002720,2019-07-05,Legacy plan extension,Pending,New partner acquisition,774822.99,Pricing Governance,2020-07-10
E000488,P002734,2025-07-03,High-risk waiver,Approved,Competitive displacement,24508.92,Pricing Governance,2026-01-18
E000489,P002735,2019-04-06,High-risk waiver,Expired,New partner acquisition,55908.66,None,2020-05-10
E000490,P002737,2020-11-20,Legacy plan extension,Pending,Strategic retention,4253.14,Revenue Management,2021-11-28
E000491,P002754,2021-01-20,Legacy plan extension,Approved,New partner acquisition,137.48,Pricing Governance,2022-02-13
E000492,P002757,2024-03-02,Discounted bps,Approved,Risk-adjusted commercial exception,260645.01,Pricing Governance,2025-04-05
E000493,P002759,2023-12-31,Volume threshold waiver,Expired,Competitive displacement,9367.08,Product Director,2025-01-24
E000494,P002760,2018-03-30,Volume threshold waiver,Approved,Contract renewal concession,710814.83,Revenue Management,2019-04-25
E000495,P002762,2024-03-26,Waived monthly minimum,Approved,Contract renewal concession,400867.11,Revenue Management,2024-10-08
E000496,P002769,2023-02-22,Discounted bps,Approved,Risk-adjusted commercial exception,943401.46,Revenue Management,2025-03-23
E000497,P002773,2025-07-10,Legacy plan extension,Expired,Contract renewal concession,646891.44,Pricing Governance,2026-01-26
E000498,P002779,2025-04-12,Discounted bps,Approved,Risk-adjusted commercial exception,86171.61,Revenue Management,2026-05-01
E000499,P002781,2023-12-11,Discounted bps,Rejected,Risk-adjusted commercial exception,20955.36,Pricing Governance,2024-12-22
E000500,P002782,2021-09-20,Volume threshold waiver,Approved,New partner acquisition,9541.53,Pricing Governance,2022-04-12
E000501,P002783,2025-06-02,High-risk waiver,Approved,New partner acquisition,15106.59,Pricing Governance,2026-06-25
E000502,P002791,2024-10-10,Volume threshold waiver,Pending,Strategic retention,22073.6,Pricing Governance,2025-11-04
E000503,P002798,2020-03-21,Waived monthly minimum,Approved,Strategic retention,12604.06,Product Director,2021-04-13
E000504,P002802,2019-06-27,Discounted bps,Approved,Contract renewal concession,18235.6,Pricing Governance,2020-07-25
